Регион,Период,Срез,Категория,Пол,Значение
Ямало-Ненецкий АО,2010,по социальному составу,лиц без постоянных источников доходов,m,2236
Ямало-Ненецкий АО,2010,по социальному составу,в том числе безработных,m,36
Ямало-Ненецкий АО,2010,по социальному составу,мигрантов,m,22
Ямало-Ненецкий АО,2010,по социальному составу,наемных работников,f,237
Ямало-Ненецкий АО,2010,по социальному составу,служащих,f,109
Ямало-Ненецкий АО,2010,по социальному составу,работников сельского хозяйства,f,2
Ямало-Ненецкий АО,2010,по социальному составу,предпринимателей без образования юридического лица,f,26
Ямало-Ненецкий АО,2010,по социальному составу,работников органов государственной власти,f,1
Ямало-Ненецкий АО,2010,по социальному составу,учащихся и студентов,f,47
Ямало-Ненецкий АО,2010,по социальному составу,лиц без постоянных источников доходов,f,400
Ямало-Ненецкий АО,2010,по социальному составу,в том числе безработных,f,7
Ямало-Ненецкий АО,2010,по социальному составу,мигрантов,f,0
Ямало-Ненецкий АО,2010,по принадлежности к гражданству,граждане России,m,4080
Ямало-Ненецкий АО,2010,по принадлежности к гражданству,граждане других государств или лица без гражданства,m,325
Ямало-Ненецкий АО,2010,по принадлежности к гражданству,граждане России,f,833
Ямало-Ненецкий АО,2010,по принадлежности к гражданству,граждане других государств или лица без гражданства,f,27
Архангельская область,2014,по возрасту,14-15,m,241
Архангельская область,2014,по возрасту,16-17,m,447
Архангельская область,2014,по возрасту,18-24,m,1729
Архангельская область,2014,по возрасту,25-29,m,1534
Архангельская область,2014,по возрасту,30-49,m,3639
Архангельская область,2014,по возрасту,50 +,m,737
Архангельская область,2014,по возрасту,14-15,f,20
Архангельская область,2014,по возрасту,16-17,f,48
Архангельская область,2014,по возрасту,18-24,f,273
Архангельская область,2014,по возрасту,25-29,f,313
Архангельская область,2014,по возрасту,30-49,f,937
Архангельская область,2014,по возрасту,50 +,f,159
Архангельская область,2014,по образованию,высшее профессиональное,m,436
Архангельская область,2014,по образованию,среднее профессиональное,m,2182
Архангельская область,2014,по образованию,среднее (полное) общее,m,2905
Архангельская область,2014,по образованию,начальное и основное общее,m,2443
Архангельская область,2014,по образованию,высшее профессиональное,f,133
Архангельская область,2014,по образованию,среднее профессиональное,f,498
Архангельская область,2014,по образованию,среднее (полное) общее,f,498
Архангельская область,2014,по образованию,начальное и основное общее,f,552
Архангельская область,2014,по социальному составу,наемных работников,m,1856
Архангельская область,2014,по социальному составу,служащих,m,148
Архангельская область,2014,по социальному составу,работников сельского хозяйства,m,10
Архангельская область,2014,по социальному составу,предпринимателей без образования юридического лица,m,187
Архангельская область,2014,по социальному составу,работников органов государственной власти,m,23
Архангельская область,2014,по социальному составу,учащихся и студентов,m,670
Архангельская область,2014,по социальному составу,лиц без постоянных источников доходов,m,5036
Архангельская область,2014,по социальному составу,в том числе безработных,m,432
Архангельская область,2014,по социальному составу,мигрантов,m,9
Архангельская область,2014,по социальному составу,наемных работников,f,334
Архангельская область,2014,по социальному составу,служащих,f,52
Архангельская область,2014,по социальному составу,работников сельского хозяйства,f,0
Архангельская область,2014,по социальному составу,предпринимателей без образования юридического лица,f,20
Архангельская область,2014,по социальному составу,работников органов государственной власти,f,3
Архангельская область,2014,по социальному составу,учащихся и студентов,f,74
Архангельская область,2014,по социальному составу,лиц без постоянных источников доходов,f,1134
Архангельская область,2014,по социальному составу,в том числе безработных,f,135
Архангельская область,2014,по социальному составу,мигрантов,f,0
Архангельская область,2014,по принадлежности к гражданству,граждане России,m,8264
Архангельская область,2014,по принадлежности к гражданству,граждане других государств или лица без гражданства,m,62
Архангельская область,2014,по принадлежности к гражданству,граждане России,f,1741
Архангельская область,2014,по принадлежности к гражданству,граждане других государств или лица без гражданства,f,7
Архангельская область,2013,по возрасту,14-15,m,306
Архангельская область,2013,по возрасту,16-17,m,564
Архангельская область,2013,по возрасту,18-24,m,1853
Архангельская область,2013,по возрасту,25-29,m,1454
Архангельская область,2013,по возрасту,30-49,m,3440
Архангельская область,2013,по возрасту,50 +,m,684
Архангельская область,2013,по возрасту,14-15,f,36
Архангельская область,2013,по возрасту,16-17,f,49
Архангельская область,2013,по возрасту,18-24,f,265
Архангельская область,2013,по возрасту,25-29,f,289
Архангельская область,2013,по возрасту,30-49,f,994
Архангельская область,2013,по возрасту,50 +,f,184
Архангельская область,2013,по образованию,высшее профессиональное,m,379
Архангельская область,2013,по образованию,среднее профессиональное,m,1886
Архангельская область,2013,по образованию,среднее (полное) общее,m,3152
Архангельская область,2013,по образованию,начальное и основное общее,m,2497
Архангельская область,2013,по образованию,высшее профессиональное,f,160
Архангельская область,2013,по образованию,среднее профессиональное,f,477
Архангельская область,2013,по образованию,среднее (полное) общее,f,534
Архангельская область,2013,по образованию,начальное и основное общее,f,552
Архангельская область,2013,по социальному составу,наемных работников,m,1933
Архангельская область,2013,по социальному составу,служащих,m,134
Архангельская область,2013,по социальному составу,работников сельского хозяйства,m,3
Архангельская область,2013,по социальному составу,предпринимателей без образования юридического лица,m,174
Архангельская область,2013,по социальному составу,работников органов государственной власти,m,5
Архангельская область,2013,по социальному составу,учащихся и студентов,m,836
Архангельская область,2013,по социальному составу,лиц без постоянных источников доходов,m,4809
Архангельская область,2013,по социальному составу,в том числе безработных,m,528
Архангельская область,2013,по социальному составу,мигрантов,m,11
Архангельская область,2013,по социальному составу,наемных работников,f,339
Архангельская область,2013,по социальному составу,служащих,f,149
Архангельская область,2013,по социальному составу,работников сельского хозяйства,f,1
Архангельская область,2013,по социальному составу,предпринимателей без образования юридического лица,f,31
Архангельская область,2013,по социальному составу,работников органов государственной власти,f,4
Архангельская область,2013,по социальному составу,учащихся и студентов,f,89
Архангельская область,2013,по социальному составу,лиц без постоянных источников доходов,f,1079
Архангельская область,2013,по социальному составу,в том числе безработных,f,97
Архангельская область,2013,по социальному составу,мигрантов,f,0
Архангельская область,2013,по принадлежности к гражданству,граждане России,m,8228
Архангельская область,2013,по принадлежности к гражданству,граждане других государств или лица без гражданства,m,71
Архангельская область,2013,по принадлежности к гражданству,граждане России,f,1814
Архангельская область,2013,по принадлежности к гражданству,граждане других государств или лица без гражданства,f,2
Архангельская область,2012,по возрасту,14-15,m,274
Архангельская область,2012,по возрасту,16-17,m,506
Архангельская область,2012,по возрасту,18-24,m,2089
Архангельская область,2012,по возрасту,25-29,m,1490
Архангельская область,2012,по возрасту,30-49,m,3387
Архангельская область,2012,по возрасту,50 +,m,615
Архангельская область,2012,по возрасту,14-15,f,32
Архангельская область,2012,по возрасту,16-17,f,80
Архангельская область,2012,по возрасту,18-24,f,295
Архангельская область,2012,по возрасту,25-29,f,311
Архангельская область,2012,по возрасту,30-49,f,876
Архангельская область,2012,по возрасту,50 +,f,175
Архангельская область,2012,по образованию,высшее профессиональное,m,390
Архангельская область,2012,по образованию,среднее профессиональное,m,1815
Архангельская область,2012,по образованию,среднее (полное) общее,m,3129
Архангельская область,2012,по образованию,начальное и основное общее,m,2684
Архангельская область,2012,по образованию,высшее профессиональное,f,114
Архангельская область,2012,по образованию,среднее профессиональное,f,364
Архангельская область,2012,по образованию,среднее (полное) общее,f,623
Архангельская область,2012,по образованию,начальное и основное общее,f,582
Архангельская область,2012,по социальному составу,наемных работников,m,1952
Архангельская область,2012,по социальному составу,служащих,m,152
Архангельская область,2012,по социальному составу,работников сельского хозяйства,m,5
Архангельская область,2012,по социальному составу,предпринимателей без образования юридического лица,m,216
Архангельская область,2012,по социальному составу,работников органов государственной власти,m,8
Архангельская область,2012,по социальному составу,учащихся и студентов,m,755
Архангельская область,2012,по социальному составу,лиц без постоянных источников доходов,m,4919
Архангельская область,2012,по социальному составу,в том числе безработных,m,531
Архангельская область,2012,по социальному составу,мигрантов,m,3
Архангельская область,2012,по социальному составу,наемных работников,f,352
Архангельская область,2012,по социальному составу,служащих,f,65
Архангельская область,2012,по социальному составу,работников сельского хозяйства,f,4
Архангельская область,2012,по социальному составу,предпринимателей без образования юридического лица,f,35
Архангельская область,2012,по социальному составу,работников органов государственной власти,f,2
Архангельская область,2012,по социальному составу,учащихся и студентов,f,102
Архангельская область,2012,по социальному составу,лиц без постоянных источников доходов,f,1088
Архангельская область,2012,по социальному составу,в том числе безработных,f,129
Архангельская область,2012,по социальному составу,мигрантов,f,1
Архангельская область,2012,по принадлежности к гражданству,граждане России,m,8308
Архангельская область,2012,по принадлежности к гражданству,граждане других государств или лица без гражданства,m,53
Архангельская область,2012,по принадлежности к гражданству,граждане России,f,1767
Архангельская область,2012,по принадлежности к гражданству,граждане других государств или лица без гражданства,f,2
Архангельская область,2011,по возрасту,14-15,m,222
Архангельская область,2011,по возрасту,16-17,m,425
Архангельская область,2011,по возрасту,18-24,m,2086
Архангельская область,2011,по возрасту,25-29,m,1464
Архангельская область,2011,по возрасту,30-49,m,3206
Архангельская область,2011,по возрасту,50 +,m,608
Архангельская область,2011,по возрасту,14-15,f,35
Архангельская область,2011,по возрасту,16-17,f,53
Архангельская область,2011,по возрасту,18-24,f,281
Архангельская область,2011,по возрасту,25-29,f,284
Архангельская область,2011,по возрасту,30-49,f,825
Архангельская область,2011,по возрасту,50 +,f,152
Архангельская область,2011,по образованию,высшее профессиональное,m,435
Архангельская область,2011,по образованию,среднее профессиональное,m,1664
Архангельская область,2011,по образованию,среднее (полное) общее,m,2982
Архангельская область,2011,по образованию,начальное и основное общее,m,2569
Архангельская область,2011,по образованию,высшее профессиональное,f,136
Архангельская область,2011,по образованию,среднее профессиональное,f,352
Архангельская область,2011,по образованию,среднее (полное) общее,f,534
Архангельская область,2011,по образованию,начальное и основное общее,f,542
Архангельская область,2011,по социальному составу,наемных работников,m,1903
Архангельская область,2011,по социальному составу,служащих,m,214
Архангельская область,2011,по социальному составу,работников сельского хозяйства,m,1
Архангельская область,2011,по социальному составу,предпринимателей без образования юридического лица,m,147
Архангельская область,2011,по социальному составу,работников органов государственной власти,m,11
Архангельская область,2011,по социальному составу,учащихся и студентов,m,631
Архангельская область,2011,по социальному составу,лиц без постоянных источников доходов,m,4808
Архангельская область,2011,по социальному составу,в том числе безработных,m,627
Архангельская область,2011,по социальному составу,мигрантов,m,4
Архангельская область,2011,по социальному составу,наемных работников,f,324
Архангельская область,2011,по социальному составу,служащих,f,89
Архангельская область,2011,по социальному составу,работников сельского хозяйства,f,0
Архангельская область,2011,по социальному составу,предпринимателей без образования юридического лица,f,21
Архангельская область,2011,по социальному составу,работников органов государственной власти,f,2
Архангельская область,2011,по социальному составу,учащихся и студентов,f,79
Архангельская область,2011,по социальному составу,лиц без постоянных источников доходов,f,1012
Архангельская область,2011,по социальному составу,в том числе безработных,f,140
Архангельская область,2011,по социальному составу,мигрантов,f,0
Архангельская область,2011,по принадлежности к гражданству,граждане России,m,7946
Архангельская область,2011,по принадлежности к гражданству,граждане других государств или лица без гражданства,m,65
Архангельская область,2011,по принадлежности к гражданству,граждане России,f,1626
Архангельская область,2011,по принадлежности к гражданству,граждане других государств или лица без гражданства,f,4
Архангельская область,2010,по возрасту,14-15,m,276
Архангельская область,2010,по возрасту,16-17,m,496
Архангельская область,2010,по возрасту,18-24,m,2402
Архангельская область,2010,по возрасту,25-29,m,1643
Архангельская область,2010,по возрасту,30-49,m,3318
Архангельская область,2010,по возрасту,50 +,m,674
Архангельская область,2010,по возрасту,14-15,f,26
Архангельская область,2010,по возрасту,16-17,f,67
Архангельская область,2010,по возрасту,18-24,f,306
Архангельская область,2010,по возрасту,25-29,f,243
Архангельская область,2010,по возрасту,30-49,f,760
Архангельская область,2010,по возрасту,50 +,f,139
Архангельская область,2010,по образованию,высшее профессиональное,m,347
Архангельская область,2010,по образованию,среднее профессиональное,m,1867
Архангельская область,2010,по образованию,среднее (полное) общее,m,3506
Архангельская область,2010,по образованию,начальное и основное общее,m,2785
Архангельская область,2010,по образованию,высшее профессиональное,f,125
Архангельская область,2010,по образованию,среднее профессиональное,f,363
Архангельская область,2010,по образованию,среднее (полное) общее,f,559
Архангельская область,2010,по образованию,начальное и основное общее,f,440
Архангельская область,2010,по социальному составу,наемных работников,m,2075
Архангельская область,2010,по социальному составу,служащих,m,205
Архангельская область,2010,по социальному составу,работников сельского хозяйства,m,1
Архангельская область,2010,по социальному составу,предпринимателей без образования юридического лица,m,167
Архангельская область,2010,по социальному составу,работников органов государственной власти,m,6
Архангельская область,2010,по социальному составу,учащихся и студентов,m,783
Архангельская область,2010,по социальному составу,лиц без постоянных источников доходов,m,5211
Архангельская область,2010,по социальному составу,в том числе безработных,m,705
Архангельская область,2010,по социальному составу,мигрантов,m,0
Архангельская область,2010,по социальному составу,наемных работников,f,317
Архангельская область,2010,по социальному составу,служащих,f,71
Архангельская область,2010,по социальному составу,работников сельского хозяйства,f,0
Архангельская область,2010,по социальному составу,предпринимателей без образования юридического лица,f,29
Архангельская область,2010,по социальному составу,работников органов государственной власти,f,2
Архангельская область,2010,по социальному составу,учащихся и студентов,f,100
Архангельская область,2010,по социальному составу,лиц без постоянных источников доходов,f,923
Архангельская область,2010,по социальному составу,в том числе безработных,f,124
Архангельская область,2010,по социальному составу,мигрантов,f,0
Архангельская область,2010,по принадлежности к гражданству,граждане России,m,8767
Архангельская область,2010,по принадлежности к гражданству,граждане других государств или лица без гражданства,m,43
Архангельская область,2010,по принадлежности к гражданству,граждане России,f,1540
Архангельская область,2010,по принадлежности к гражданству,граждане других государств или лица без гражданства,f,2
Тюменская область,2014,по возрасту,14-15,m,206
Тюменская область,2014,по возрасту,16-17,m,432
Тюменская область,2014,по возрасту,18-24,m,2480
Тюменская область,2014,по возрасту,25-29,m,2210
Тюменская область,2014,по возрасту,30-49,m,4773
Тюменская область,2014,по возрасту,50 +,m,1044
Тюменская область,2014,по возрасту,14-15,f,48
Тюменская область,2014,по возрасту,16-17,f,40
Тюменская область,2014,по возрасту,18-24,f,313
Тюменская область,2014,по возрасту,25-29,f,387
Тюменская область,2014,по возрасту,30-49,f,1006
Тюменская область,2014,по возрасту,50 +,f,198
Тюменская область,2014,по образованию,высшее профессиональное,m,704
Тюменская область,2014,по образованию,среднее профессиональное,m,3106
Тюменская область,2014,по образованию,среднее (полное) общее,m,3111
Тюменская область,2014,по образованию,начальное и основное общее,m,3870
Тюменская область,2014,по образованию,высшее профессиональное,f,235
Тюменская область,2014,по образованию,среднее профессиональное,f,609
Тюменская область,2014,по образованию,среднее (полное) общее,f,457
Тюменская область,2014,по образованию,начальное и основное общее,f,619
Тюменская область,2014,по социальному составу,наемных работников,m,2740
Тюменская область,2014,по социальному составу,служащих,m,301
Тюменская область,2014,по социальному составу,работников сельского хозяйства,m,134
Тюменская область,2014,по социальному составу,предпринимателей без образования юридического лица,m,116
Тюменская область,2014,по социальному составу,работников органов государственной власти,m,55
Тюменская область,2014,по социальному составу,учащихся и студентов,m,670
Тюменская область,2014,по социальному составу,лиц без постоянных источников доходов,m,6927
Тюменская область,2014,по социальному составу,в том числе безработных,m,184
Тюменская область,2014,по социальному составу,мигрантов,m,43
Тюменская область,2014,по социальному составу,наемных работников,f,361
Тюменская область,2014,по социальному составу,служащих,f,122
Тюменская область,2014,по социальному составу,работников сельского хозяйства,f,13
Тюменская область,2014,по социальному составу,предпринимателей без образования юридического лица,f,18
Тюменская область,2014,по социальному составу,работников органов государственной власти,f,13
Тюменская область,2014,по социальному составу,учащихся и студентов,f,100
Тюменская область,2014,по социальному составу,лиц без постоянных источников доходов,f,1273
Тюменская область,2014,по социальному составу,в том числе безработных,f,33
Тюменская область,2014,по социальному составу,мигрантов,f,6
Тюменская область,2014,по принадлежности к гражданству,граждане России,m,10767
Тюменская область,2014,по принадлежности к гражданству,граждане других государств или лица без гражданства,m,378
Тюменская область,2014,по принадлежности к гражданству,граждане России,f,1950
Тюменская область,2014,по принадлежности к гражданству,граждане других государств или лица без гражданства,f,42
Тюменская область,2013,по возрасту,14-15,m,242
Тюменская область,2013,по возрасту,16-17,m,429
Тюменская область,2013,по возрасту,18-24,m,2604
Тюменская область,2013,по возрасту,25-29,m,2159
Тюменская область,2013,по возрасту,30-49,m,4574
Тюменская область,2013,по возрасту,50 +,m,1070
Тюменская область,2013,по возрасту,14-15,f,50
Тюменская область,2013,по возрасту,16-17,f,77
Тюменская область,2013,по возрасту,18-24,f,357
Тюменская область,2013,по возрасту,25-29,f,337
Тюменская область,2013,по возрасту,30-49,f,848
Тюменская область,2013,по возрасту,50 +,f,189
Тюменская область,2013,по образованию,высшее профессиональное,m,729
Тюменская область,2013,по образованию,среднее профессиональное,m,2891
Тюменская область,2013,по образованию,среднее (полное) общее,m,3277
Тюменская область,2013,по образованию,начальное и основное общее,m,3801
Тюменская область,2013,по образованию,высшее профессиональное,f,193
Тюменская область,2013,по образованию,среднее профессиональное,f,533
Тюменская область,2013,по образованию,среднее (полное) общее,f,494
Тюменская область,2013,по образованию,начальное и основное общее,f,566
Тюменская область,2013,по социальному составу,наемных работников,m,2590
Тюменская область,2013,по социальному составу,служащих,m,371
Тюменская область,2013,по социальному составу,работников сельского хозяйства,m,79
Тюменская область,2013,по социальному составу,предпринимателей без образования юридического лица,m,100
Тюменская область,2013,по социальному составу,работников органов государственной власти,m,1
Тюменская область,2013,по социальному составу,учащихся и студентов,m,741
Тюменская область,2013,по социальному составу,лиц без постоянных источников доходов,m,6865
Тюменская область,2013,по социальному составу,в том числе безработных,m,188
Тюменская область,2013,по социальному составу,мигрантов,m,47
Тюменская область,2013,по социальному составу,наемных работников,f,339
Тюменская область,2013,по социальному составу,служащих,f,101
Тюменская область,2013,по социальному составу,работников сельского хозяйства,f,6
Тюменская область,2013,по социальному составу,предпринимателей без образования юридического лица,f,16
Тюменская область,2013,по социальному составу,работников органов государственной власти,f,0
Тюменская область,2013,по социальному составу,учащихся и студентов,f,143
Тюменская область,2013,по социальному составу,лиц без постоянных источников доходов,f,1136
Тюменская область,2013,по социальному составу,в том числе безработных,f,35
Тюменская область,2013,по социальному составу,мигрантов,f,0
Тюменская область,2013,по принадлежности к гражданству,граждане России,m,10670
Тюменская область,2013,по принадлежности к гражданству,граждане других государств или лица без гражданства,m,408
Тюменская область,2013,по принадлежности к гражданству,граждане России,f,1832
Тюменская область,2013,по принадлежности к гражданству,граждане других государств или лица без гражданства,f,26
Тюменская область,2012,по возрасту,14-15,m,239
Тюменская область,2012,по возрасту,16-17,m,426
Тюменская область,2012,по возрасту,18-24,m,2484
Тюменская область,2012,по возрасту,25-29,m,2002
Тюменская область,2012,по возрасту,30-49,m,4243
Тюменская область,2012,по возрасту,50 +,m,870
Тюменская область,2012,по возрасту,14-15,f,34
Тюменская область,2012,по возрасту,16-17,f,61
Тюменская область,2012,по возрасту,18-24,f,324
Тюменская область,2012,по возрасту,25-29,f,335
Тюменская область,2012,по возрасту,30-49,f,764
Тюменская область,2012,по возрасту,50 +,f,172
Тюменская область,2012,по образованию,высшее профессиональное,m,605
Тюменская область,2012,по образованию,среднее профессиональное,m,2608
Тюменская область,2012,по образованию,среднее (полное) общее,m,3119
Тюменская область,2012,по образованию,начальное и основное общее,m,3645
Тюменская область,2012,по образованию,высшее профессиональное,f,136
Тюменская область,2012,по образованию,среднее профессиональное,f,447
Тюменская область,2012,по образованию,среднее (полное) общее,f,470
Тюменская область,2012,по образованию,начальное и основное общее,f,584
Тюменская область,2012,по социальному составу,наемных работников,m,2347
Тюменская область,2012,по социальному составу,служащих,m,295
Тюменская область,2012,по социальному составу,работников сельского хозяйства,m,117
Тюменская область,2012,по социальному составу,предпринимателей без образования юридического лица,m,82
Тюменская область,2012,по социальному составу,работников органов государственной власти,m,1
Тюменская область,2012,по социальному составу,учащихся и студентов,m,660
Тюменская область,2012,по социальному составу,лиц без постоянных источников доходов,m,6529
Тюменская область,2012,по социальному составу,в том числе безработных,m,38
Тюменская область,2012,по социальному составу,мигрантов,m,32
Тюменская область,2012,по социальному составу,наемных работников,f,254
Тюменская область,2012,по социальному составу,служащих,f,91
Тюменская область,2012,по социальному составу,работников сельского хозяйства,f,11
Тюменская область,2012,по социальному составу,предпринимателей без образования юридического лица,f,9
Тюменская область,2012,по социальному составу,работников органов государственной власти,f,0
Тюменская область,2012,по социальному составу,учащихся и студентов,f,105
Тюменская область,2012,по социальному составу,лиц без постоянных источников доходов,f,1158
Тюменская область,2012,по социальному составу,в том числе безработных,f,4
Тюменская область,2012,по социальному составу,мигрантов,f,1
Тюменская область,2012,по принадлежности к гражданству,граждане России,m,9997
Тюменская область,2012,по принадлежности к гражданству,граждане других государств или лица без гражданства,m,267
Тюменская область,2012,по принадлежности к гражданству,граждане России,f,1674
Тюменская область,2012,по принадлежности к гражданству,граждане других государств или лица без гражданства,f,16
Тюменская область,2011,по возрасту,14-15,m,206
Тюменская область,2011,по возрасту,16-17,m,475
Тюменская область,2011,по возрасту,18-24,m,2306
Тюменская область,2011,по возрасту,25-29,m,1690
Тюменская область,2011,по возрасту,30-49,m,3732
Тюменская область,2011,по возрасту,50 +,m,711
Тюменская область,2011,по возрасту,14-15,f,31
Тюменская область,2011,по возрасту,16-17,f,46
Тюменская область,2011,по возрасту,18-24,f,322
Тюменская область,2011,по возрасту,25-29,f,329
Тюменская область,2011,по возрасту,30-49,f,751
Тюменская область,2011,по возрасту,50 +,f,138
Тюменская область,2011,по образованию,высшее профессиональное,m,452
